SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
9	1137	9258	9258
10	1137	13013	13013
11	1137	11328	11328
12	1137	9058	9058
13	1137	9698	9698
14	1137	10892	10892
15	1137	9850	9850
16	1137	11851	11851
17	1137	11113	11113
18	1137	13656	13656
0	1138	3896701	2202834
1	1138	8229	8229
2	1138	14942	14942
3	1138	12046	12046
4	1138	10585	10585
5	1138	13933	13933
6	1138	12016	12016
7	1138	6956	6956
8	1138	7155	7155
9	1138	9319	9319
10	1138	12841	12841
11	1138	11370	11370
12	1138	9072	9072
13	1138	9774	9774
14	1138	10509	10509
15	1138	10070	10070
16	1138	11625	11625
17	1138	11184	11184
18	1138	13577	13577
0	1139	3901965	2136159
1	1139	7972	7972
2	1139	14160	14160
3	1139	11881	11881
4	1139	10153	10153
5	1139	13523	13523
6	1139	11554	11554
7	1139	6758	6758
8	1139	7066	7066
9	1139	9170	9170
10	1139	12583	12583
11	1139	11216	11216
12	1139	8802	8802
13	1139	9367	9367
14	1139	10378	10378
15	1139	9784	9784
16	1139	11642	11642
17	1139	10794	10794
18	1139	13136	13136
0	1140	3899415	2165710
1	1140	8001	8001
2	1140	14181	14181
3	1140	12150	12150
4	1140	10478	10478
5	1140	13520	13520
6	1140	11736	11736
7	1140	6836	6836
8	1140	7208	7208
9	1140	9490	9490
10	1140	12679	12679
11	1140	11492	11492
12	1140	8905	8905
13	1140	9486	9486
14	1140	10464	10464
15	1140	9903	9903
16	1140	11932	11932
17	1140	10740	10740
18	1140	13288	13288
0	1141	3903715	2098566
1	1141	7766	7766
2	1141	14160	14160
3	1141	11953	11953
4	1141	10384	10384
5	1141	13442	13442
6	1141	11514	11514
7	1141	6640	6640
8	1141	7017	7017
9	1141	9132	9132
10	1141	12344	12344
11	1141	10931	10931
12	1141	8690	8690
13	1141	9270	9270
14	1141	10138	10138
15	1141	9601	9601
16	1141	11493	11493
17	1141	10598	10598
18	1141	13116	13116
0	1142	3900610	2137605
1	1142	7989	7989
2	1142	14509	14509
3	1142	12042	12042
4	1142	10267	10267
5	1142	13448	13448
6	1142	11722	11722
7	1142	6760	6760
8	1142	7032	7032
9	1142	9440	9440
10	1142	12438	12438
11	1142	11284	11284
12	1142	8902	8902
13	1142	9458	9458
14	1142	10356	10356
15	1142	9818	9818
16	1142	11588	11588
17	1142	10899	10899
18	1142	13342	13342
0	1143	3896043	2202909
1	1143	8137	8137
2	1143	14920	14920
3	1143	12184	12184
4	1143	10593	10593
5	1143	13921	13921
6	1143	11972	11972
7	1143	6819	6819
8	1143	7380	7380
9	1143	9365	9365
10	1143	12950	12950
11	1143	11542	11542
12	1143	9036	9036
13	1143	9905	9905
14	1143	10655	10655
15	1143	9862	9862
16	1143	11960	11960
17	1143	11097	11097
18	1143	13563	13563
0	1144	3893879	2217377
1	1144	8143	8143
2	1144	14935	14935
3	1144	12431	12431
4	1144	10631	10631
5	1144	14053	14053
6	1144	12341	12341
7	1144	7099	7099
8	1144	7337	7337
9	1144	9534	9534
10	1144	13484	13484
11	1144	11557	11557
12	1144	9127	9127
13	1144	9753	9753
14	1144	10870	10870
15	1144	10145	10145
16	1144	11776	11776
17	1144	11129	11129
18	1144	13680	13680
0	1145	3899464	2161619
1	1145	7983	7983
2	1145	14661	14661
3	1145	12102	12102
4	1145	10416	10416
5	1145	13735	13735
6	1145	11614	11614
7	1145	6868	6868
8	1145	7124	7124
9	1145	9474	9474
10	1145	12629	12629
11	1145	11292	11292
12	1145	8785	8785
13	1145	9472	9472
14	1145	10435	10435
15	1145	9900	9900
16	1145	11587	11587
17	1145	10962	10962
18	1145	13401	13401
0	1146	3889337	2271885
1	1146	8266	8266
2	1146	15758	15758
3	1146	12692	12692
4	1146	11029	11029
5	1146	14742	14742
6	1146	12455	12455
7	1146	7208	7208
8	1146	7736	7736
9	1146	9667	9667
10	1146	13201	13201
11	1146	12097	12097
12	1146	9033	9033
13	1146	9926	9926
14	1146	10835	10835
15	1146	10448	10448
16	1146	11986	11986
17	1146	11461	11461
18	1146	14027	14027
0	1147	3889789	2267432
1	1147	8367	8367
2	1147	15328	15328
3	1147	12726	12726
4	1147	10831	10831
5	1147	14592	14592
6	1147	12358	12358
7	1147	7162	7162
8	1147	7507	7507
9	1147	9784	9784
10	1147	13223	13223
11	1147	11977	11977
12	1147	9248	9248
13	1147	9932	9932
14	1147	11065	11065
15	1147	10279	10279
16	1147	12334	12334
17	1147	11361	11361
18	1147	14041	14041
0	1148	3889727	2269220
1	1148	8367	8367
2	1148	15461	15461
3	1148	12910	12910
4	1148	11065	11065
5	1148	14652	14652
6	1148	12361	12361
7	1148	6926	6926
8	1148	7431	7431
9	1148	9704	9704
10	1148	13314	13314
11	1148	11697	11697
12	1148	9289	9289
13	1148	9982	9982
14	1148	10846	10846
15	1148	10318	10318
16	1148	12103	12103
17	1148	11614	11614
18	1148	14137	14137
0	1149	3890842	2247995
1	1149	8338	8338
2	1149	15380	15380
3	1149	12687	12687
4	1149	10869	10869
5	1149	14340	14340
6	1149	12342	12342
7	1149	7010	7010
8	1149	7362	7362
9	1149	9624	9624
10	1149	13292	13292
11	1149	11785	11785
12	1149	9327	9327
13	1149	10022	10022
14	1149	10892	10892
15	1149	10432	10432
16	1149	12196	12196
17	1149	11338	11338
18	1149	13826	13826
0	1150	3887329	2291110
1	1150	8404	8404
2	1150	15749	15749
3	1150	12869	12869
4	1150	11175	11175
5	1150	14610	14610
6	1150	12618	12618
7	1150	7229	7229
8	1150	7496	7496
9	1150	9823	9823
10	1150	13408	13408
11	1150	12112	12112
12	1150	9354	9354
13	1150	10007	10007
14	1150	11254	11254
15	1150	10243	10243
16	1150	12452	12452
17	1150	11716	11716
18	1150	14056	14056
0	1151	3893127	2218090
1	1151	8201	8201
2	1151	15145	15145
3	1151	12301	12301
4	1151	10874	10874
5	1151	14196	14196
6	1151	12314	12314
7	1151	6977	6977
8	1151	7453	7453
9	1151	9623	9623
10	1151	13056	13056
11	1151	11579	11579
12	1151	9274	9274
13	1151	9771	9771
14	1151	10826	10826
15	1151	10301	10301
16	1151	11769	11769
17	1151	11442	11442
18	1151	13675	13675
0	1152	3892520	2235437
1	1152	8053	8053
2	1152	15570	15570
3	1152	12485	12485
4	1152	10983	10983
5	1152	14557	14557
6	1152	12237	12237
7	1152	6972	6972
8	1152	7393	7393
9	1152	9556	9556
10	1152	13001	13001
11	1152	11895	11895
12	1152	9079	9079
13	1152	9931	9931
14	1152	10710	10710
15	1152	10021	10021
16	1152	11897	11897
17	1152	11377	11377
18	1152	13667	13667
0	1153	3890108	2258930
1	1153	8348	8348
2	1153	15593	15593
3	1153	12728	12728
4	1153	10917	10917
5	1153	14620	14620
6	1153	12469	12469
7	1153	7091	7091
8	1153	7384	7384
9	1153	9996	9996
10	1153	13189	13189
11	1153	11846	11846
12	1153	9275	9275
13	1153	9864	9864
14	1153	10909	10909
15	1153	10184	10184
16	1153	12224	12224
17	1153	11536	11536
18	1153	13623	13623
0	1154	3891732	2245147
1	1154	8111	8111
2	1154	15310	15310
3	1154	12690	12690
4	1154	10853	10853
5	1154	14465	14465
6	1154	12311	12311
7	1154	7127	7127
8	1154	7441	7441
9	1154	9665	9665
10	1154	13057	13057
11	1154	11692	11692
12	1154	9326	9326
13	1154	9965	9965
14	1154	11007	11007
15	1154	10132	10132
16	1154	11937	11937
17	1154	11341	11341
18	1154	13742	13742
0	1155	3890530	2263421
1	1155	8238	8238
2	1155	15146	15146
3	1155	12468	12468
4	1155	11227	11227
5	1155	14204	14204
6	1155	12599	12599
7	1155	7154	7154
8	1155	7484	7484
9	1155	9793	9793
10	1155	13255	13255
11	1155	11887	11887
12	1155	9307	9307
13	1155	9968	9968
14	1155	10898	10898
15	1155	10298	10298
16	1155	12106	12106
17	1155	11491	11491
18	1155	13851	13851
0	1156	3891119	2250778
1	1156	8227	8227
2	1156	15612	15612
3	1156	12366	12366
4	1156	11059	11059
5	1156	14443	14443
6	1156	12365	12365
7	1156	7104	7104
8	1156	7386	7386
9	1156	9736	9736
10	1156	13005	13005
11	1156	11908	11908
12	1156	9080	9080
13	1156	10069	10069
14	1156	10829	10829
15	1156	10164	10164
16	1156	12102	12102
17	1156	11441	11441
18	1156	13889	13889
0	1157	3888762	2274638
1	1157	8449	8449
2	1157	15994	15994
3	1157	12710	12710
4	1157	10929	10929
5	1157	14935	14935
6	1157	12217	12217
7	1157	7140	7140
8	1157	7532	7532
9	1157	9733	9733
10	1157	13258	13258
11	1157	11830	11830
12	1157	9482	9482
13	1157	10018	10018
14	1157	10824	10824
15	1157	10178	10178
16	1157	12283	12283
17	1157	11688	11688
18	1157	13942	13942
0	1158	3891313	2245388
1	1158	8247	8247
2	1158	15499	15499
3	1158	12416	12416
4	1158	10714	10714
5	1158	14665	14665
6	1158	12407	12407
7	1158	7024	7024
8	1158	7550	7550
9	1158	9671	9671
10	1158	12975	12975
11	1158	11822	11822
12	1158	9134	9134
13	1158	9952	9952
14	1158	10860	10860
15	1158	10241	10241
16	1158	12169	12169
17	1158	11476	11476
