Channel State,Experiment Time (minutes),State Time (samples)
adapter,794,12140886
adapter,795,12268773
adapter,796,12128785
adapter,797,12141783
adapter,798,12247963
adapter,799,12271757
adapter,800,12149072
adapter,801,12666952
adapter,802,12468819
adapter,803,12218389
adapter,804,12178050
adapter,805,12085807
adapter,806,12145874
adapter,807,12108171
adapter,808,12147241
adapter,809,12412876
adapter,810,12145011
adapter,811,11964804
adapter,812,12229252
adapter,813,11754512
adapter,814,11990849
adapter,815,11738470
adapter,816,11842613
adapter,817,11844583
adapter,818,11767012
adapter,819,11978918
adapter,820,11629311
adapter,821,11638481
adapter,822,11417874
adapter,823,11774945
adapter,824,11507234
adapter,825,11909654
adapter,826,11730428
adapter,827,11228655
adapter,828,11322523
adapter,829,11165932
adapter,830,11362905
adapter,831,11035800
adapter,832,11310897
adapter,833,11277557
adapter,834,11610723
adapter,835,11451041
adapter,836,11199785
adapter,837,11399601
adapter,838,10980873
adapter,839,11214705
adapter,840,11117431
adapter,841,11485041
adapter,842,11162238
adapter,843,11010130
adapter,844,11006084
adapter,845,11073638
adapter,846,11145281
adapter,847,11103387
adapter,848,11170062
adapter,849,10809405
adapter,850,11201449
adapter,851,11219957
adapter,852,11052537
adapter,853,10977186
adapter,854,10830189
adapter,855,10910747
adapter,856,10884677
adapter,857,10888063
adapter,858,11031969
adapter,859,11133339
adapter,860,11055548
adapter,861,10436967
adapter,862,402153
adapter,863,2422
adapter,864,2038532
adapter,865,3728037
adapter,866,4816647
adapter,867,5537329
adapter,868,11669084
adapter,869,11348892
adapter,870,11163933
adapter,871,11097434
adapter,872,11237968
adapter,873,10820586
adapter,874,10992179
adapter,875,11029888
adapter,876,11045847
adapter,877,10794814
adapter,878,11105369
adapter,879,10511912
adapter,880,10744847
adapter,881,11098473
adapter,882,10740604
adapter,883,10820270
adapter,884,10980350
adapter,885,10458119
adapter,886,10518513
adapter,887,10915509
adapter,888,10327128
adapter,889,10506525
adapter,890,10321700
adapter,891,10309923
adapter,892,10289899
adapter,893,10306829
adapter,894,10169536
adapter,895,10241515
adapter,896,10202750
adapter,897,10259636
adapter,898,10251986
adapter,899,9841475
adapter,900,10281989
adapter,901,10123928
adapter,902,10109029
adapter,903,10254884
adapter,904,9988934
adapter,905,9907126
adapter,906,10132017
adapter,907,9953684
adapter,908,9988781
adapter,909,9873099
adapter,910,9710702
adapter,911,9856929
adapter,912,10287624
adapter,913,10133649
adapter,914,10160944
adapter,915,9829535
adapter,916,9723402
adapter,917,9695629
adapter,918,9761668
adapter,919,9935218
adapter,920,9635636
adapter,921,9630205
adapter,922,9880240
adapter,923,9698771
adapter,924,10120505
adapter,925,9631692
adapter,926,9826313
adapter,927,9884807
adapter,928,9749054
adapter,929,9848664
adapter,930,9549015
adapter,931,9509705
adapter,932,9777896
adapter,933,9718066
adapter,934,9558475
adapter,935,9473143
adapter,936,9439950
adapter,937,9549987
adapter,938,9568933
adapter,939,9491131
adapter,940,9586291
adapter,941,9420784
adapter,942,9686826
adapter,943,9582823
adapter,944,9507187
adapter,945,9616964
adapter,946,9275768
adapter,947,9179818
adapter,948,9297084
adapter,949,9333388
adapter,950,9442827
adapter,951,9305907
adapter,952,9319614
adapter,953,9582514
adapter,954,9506369
adapter,955,9355404
adapter,956,9206421
adapter,957,6959268
adapter,958,38785
adapter,959,6929
adapter,960,2482241
adapter,961,4130258
adapter,962,4324244
adapter,963,7932674
adapter,964,11731654
adapter,965,11599347
adapter,966,11433798
adapter,967,11217873
adapter,968,11291390
adapter,969,11196207
adapter,970,11079632
adapter,971,10996004
adapter,972,11081105
adapter,973,10863177
adapter,974,11188586
adapter,975,11251379
adapter,976,11244832
adapter,977,11204931
adapter,978,11142832
adapter,979,10767591
adapter,980,10650316
adapter,981,11323375
adapter,982,11231287
adapter,983,10853314
adapter,984,11109240
adapter,985,10858654
adapter,986,10596843
adapter,987,10900899
adapter,988,10722229
adapter,989,11027110
adapter,990,10660327
adapter,991,10544383
adapter,992,10734536
adapter,993,10673779
adapter,994,10654458
adapter,995,10694237
adapter,996,10336042
adapter,997,10480513
adapter,998,10700038
adapter,999,10575871
adapter,1000,10843250
adapter,1001,10611143
adapter,1002,10606123
adapter,1003,10610155
adapter,1004,10254071
adapter,1005,10514841
adapter,1006,10376942
adapter,1007,10545051
adapter,1008,10804660
adapter,1009,10523597
adapter,1010,10171664
adapter,1011,10440015
adapter,1012,10177213
adapter,1013,10512898
adapter,1014,10363453
adapter,1015,10232036
adapter,1016,10291697
adapter,1017,10303789
adapter,1018,10563017
adapter,1019,10528194
adapter,1020,10500503
adapter,1021,10189715
adapter,1022,10546833
adapter,1023,10259285
adapter,1024,9950230
adapter,1025,9954333
adapter,1026,10234116
adapter,1027,10233293
adapter,1028,9982170
adapter,1029,9824650
adapter,1030,10387616
adapter,1031,10052849
adapter,1032,9768961
adapter,1033,10294653
adapter,1034,9981701
adapter,1035,9868082
adapter,1036,10027728
adapter,1037,9938708
adapter,1038,9755750
adapter,1039,9970088
adapter,1040,9908948
adapter,1041,10090726
adapter,1042,9916752
adapter,1043,10017529
adapter,1044,9515723
adapter,1045,9599446
adapter,1046,9875145
adapter,1047,9689043
adapter,1048,9631559
adapter,1049,9688173
adapter,1050,9831918
adapter,1051,9533558
adapter,1052,9771892
adapter,1053,4881710
adapter,1054,15152
adapter,1055,477447
adapter,1056,2915343
adapter,1057,4208580
adapter,1058,2890045
adapter,1059,10266906
adapter,1060,10792147
adapter,1061,10730100
adapter,1062,10929940
adapter,1063,10778219
adapter,1064,10395697
adapter,1065,10429924
adapter,1066,10541322
adapter,1067,10530779
adapter,1068,10461158
adapter,1069,10437519
adapter,1070,10436609
adapter,1071,10830386
adapter,1072,10265417
adapter,1073,10504868
adapter,1074,10293891
adapter,1075,10328109
adapter,1076,10155049
adapter,1077,10254361
adapter,1078,10309731
adapter,1079,10353776
adapter,1080,10101851
adapter,1081,10200870
adapter,1082,10441114
adapter,1083,9975108
adapter,1084,9829498
adapter,1085,9848827
adapter,1086,9929442
adapter,1087,10225874
adapter,1088,9833581
adapter,1089,9575901
adapter,1090,9697078
adapter,1091,9718948
adapter,1092,9720825
adapter,1093,9470462
adapter,1094,9591121
adapter,1095,9917097
adapter,1096,9717351
adapter,1097,9542826
adapter,1098,9375470
adapter,1099,9909423
adapter,1100,9717354
adapter,1101,9297168
adapter,1102,9471836
adapter,1103,9565173
