Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
its-A10_S224_L001_R2_001	96.79567179215198	58.0	250.22458045881956	251	36.36363636363637	0.7315729999999999
its-A11_S232_L001_R1_001	95.83532905724479	54.0	249.94771755867427	251	36.36363636363637	0.874787
its-A11_S232_L001_R2_001	97.2064056736097	54.0	250.11156087138926	251	36.36363636363637	0.874787
its-A12_S240_L001_R1_001	95.54683578331198	62.0	250.07377914807125	251	36.36363636363637	0.7291219999999999
its-A12_S240_L001_R2_001	98.17204802488473	60.0	248.80415486022915	251	36.36363636363637	0.7291219999999999
its-B01_S153_L001_R1_001	96.08911096176685	53.0	250.29411243475138	251	36.36363636363637	0.868984
its-B01_S153_L001_R2_001	96.10936449923129	53.0	250.13226825810372	251	36.36363636363637	0.868984
its-B02_S161_L001_R1_001	95.04969233818508	56.0	249.8493850489323	251	36.36363636363637	0.671029
its-B02_S161_L001_R2_001	97.28312785289458	55.0	249.57666360172212	251	36.36363636363637	0.671029
its-B03_S169_L001_R1_001	95.45271414043285	55.0	249.2466331142353	251	36.36363636363637	0.6155539999999999
its-B03_S169_L001_R2_001	95.6991588065385	54.0	248.98632776328316	251	36.36363636363637	0.6155539999999999
its-B04_S177_L001_R1_001	96.31030775708078	56.0	250.64557044812602	251	36.36363636363637	0.978564
its-B04_S177_L001_R2_001	96.9113926120315	55.0	250.21368658564998	251	36.36363636363637	0.978564
its-B05_S185_L001_R1_001	96.97746053372035	50.0	250.06644292568788	251	36.36363636363637	0.540208
its-B05_S185_L001_R2_001	96.61389686935402	49.0	249.58044864200457	251	36.36363636363637	0.540208
its-B06_S193_L001_R1_001	97.62549654848718	55.0	250.32574153148718	251	36.36363636363637	0.8735299999999999
its-B06_S193_L001_R2_001	97.66670864194704	55.0	249.61744416333727	251	36.36363636363637	0.8735299999999999
its-B07_S201_L001_R1_001	95.19276253547777	49.0	250.56641944857412	251	36.36363636363637	0.7103039999999999
its-B07_S201_L001_R2_001	98.2713035545344	50.0	250.0772204577195	251	36.36363636363637	0.7103039999999999
its-B08_S209_L001_R1_001	97.2149588281309	50.0	250.5336161792408	251	36.36363636363637	0.8207059999999999
its-B08_S209_L001_R2_001	97.66530280027196	50.0	249.9515819306792	251	36.36363636363637	0.8207059999999999
its-B09_S217_L001_R1_001	96.8908643758038	59.0	250.54803065514466	251	36.36363636363637	0.6648149999999999
its-B09_S217_L001_R2_001	97.72297556463076	57.0	250.5177801343231	251	36.36363636363637	0.6648149999999999
its-B10_S225_L001_R1_001	97.57798137143467	60.0	250.42801074079443	251	36.36363636363637	0.786534
its-B10_S225_L001_R2_001	96.8314147894433	58.0	250.2812859965367	251	36.36363636363637	0.786534
its-B11_S233_L001_R1_001	96.89282530806885	55.0	250.2854877578059	251	36.36363636363637	0.862713
its-B11_S233_L001_R2_001	96.62483351937435	54.0	250.32173851558977	251	36.36363636363637	0.862713
its-B12_S241_L001_R1_001	97.26933532140258	62.0	250.12552734826028	251	36.36363636363637	0.853089
its-B12_S241_L001_R2_001	97.10475694798549	60.0	248.9185196386309	251	36.36363636363637	0.853089
its-C01_S154_L001_R1_001	96.42867565025512	54.0	250.28386523270458	251	36.36363636363637	0.8909579999999999
its-C01_S154_L001_R2_001	96.0752358697043	54.0	250.16228486640225	251	36.36363636363637	0.8909579999999999
its-C02_S162_L001_R1_001	96.21871107511808	56.0	249.9955345581011	251	36.36363636363637	0.973028
its-C02_S162_L001_R2_001	96.18983215282603	55.0	249.6780185153973	251	36.36363636363637	0.973028
