SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
4	1111	19094	19094
5	1111	17503	17503
6	1111	18993	18993
7	1111	20022	20022
8	1111	22807	22807
9	1111	18883	18883
10	1111	18264	18264
11	1111	18469	18469
12	1111	22599	22599
13	1111	23496	23496
14	1111	31797	31797
15	1111	28352	28352
16	1111	23549	23549
17	1111	22577	22577
18	1111	25226	25226
19	1111	22136	22136
20	1111	23921	23921
21	1111	22878	22878
22	1111	26435	26435
23	1111	28164	28164
24	1111	28636	28636
25	1111	21815	21815
26	1111	24003	24003
27	1111	22050	22050
28	1111	18140	18140
29	1111	18095	18095
30	1111	18362	18362
31	1111	19534	19534
32	1111	18764	18764
33	1111	18440	18440
34	1111	17744	17744
35	1111	22668	22668
36	1111	22259	22259
37	1111	19114	19114
38	1111	24402	24402
39	1111	29379	29379
40	1111	25447	25447
41	1111	24185	24185
42	1111	22136	22136
43	1111	21759	21759
44	1111	22743	22743
45	1111	22062	22062
46	1111	26049	26049
47	1111	21467	21467
48	1111	22211	22211
49	1111	17901	17901
50	1111	20387	20387
51	1111	21890	21890
52	1111	21348	21348
53	1111	21284	21284
54	1111	19588	19588
55	1111	28098	28098
56	1111	24324	24324
57	1111	17577	17577
58	1111	22847	22847
59	1111	13508	13508
60	1111	13467	13467
61	1111	18431	18431
62	1111	16893	16893
63	1111	18139	18139
64	1111	15817	15817
65	1111	13159	13159
66	1111	17034	17034
67	1111	10882	10882
68	1111	13733	13733
69	1111	13980	13980
70	1111	15640	15640
71	1111	15795	15795
72	1111	17628	17628
73	1111	11893	11893
74	1111	13107	13107
75	1111	16395	16395
76	1111	14222	14222
77	1111	17179	17179
78	1111	16666	16666
79	1111	17793	17793
80	1111	14542	14542
81	1111	19821	19821
82	1111	21657	21657
83	1111	14440	14440
84	1111	16224	16224
85	1111	13682	13682
86	1111	15822	15822
87	1111	14949	14949
88	1111	17543	17543
89	1111	13390	13390
90	1111	16010	16010
0	1112	2304214	403589
1	1112	16978	16978
2	1112	21300	21300
3	1112	17785	17785
4	1112	19421	19421
5	1112	17753	17753
6	1112	19457	19457
7	1112	20073	20073
8	1112	22402	22402
9	1112	18810	18810
10	1112	17861	17861
11	1112	18684	18684
12	1112	22782	22782
13	1112	23863	23863
14	1112	31567	31567
15	1112	28646	28646
16	1112	23950	23950
17	1112	22567	22567
18	1112	25315	25315
19	1112	22088	22088
20	1112	24020	24020
21	1112	22857	22857
22	1112	26488	26488
23	1112	27969	27969
24	1112	28745	28745
25	1112	21872	21872
26	1112	24119	24119
27	1112	22303	22303
28	1112	18417	18417
29	1112	18249	18249
30	1112	18604	18604
31	1112	19421	19421
32	1112	19163	19163
33	1112	18821	18821
34	1112	18081	18081
35	1112	22686	22686
36	1112	22452	22452
37	1112	18945	18945
38	1112	24515	24515
39	1112	29886	29886
40	1112	25592	25592
41	1112	24670	24670
42	1112	21860	21860
43	1112	22197	22197
44	1112	22486	22486
45	1112	22182	22182
46	1112	26148	26148
47	1112	21722	21722
48	1112	22431	22431
49	1112	18240	18240
50	1112	20514	20514
51	1112	21947	21947
52	1112	21681	21681
53	1112	21380	21380
54	1112	19538	19538
55	1112	28366	28366
56	1112	24477	24477
57	1112	17665	17665
58	1112	23091	23091
59	1112	13588	13588
60	1112	13197	13197
61	1112	18342	18342
62	1112	16976	16976
63	1112	18519	18519
64	1112	16080	16080
65	1112	13051	13051
66	1112	17270	17270
67	1112	11097	11097
68	1112	13744	13744
69	1112	14183	14183
70	1112	16079	16079
71	1112	16039	16039
72	1112	17671	17671
73	1112	11915	11915
74	1112	13249	13249
75	1112	16504	16504
76	1112	14082	14082
77	1112	17438	17438
78	1112	16916	16916
79	1112	17924	17924
80	1112	14520	14520
81	1112	19916	19916
82	1112	21613	21613
83	1112	14295	14295
84	1112	16203	16203
85	1112	13859	13859
86	1112	16306	16306
87	1112	14820	14820
88	1112	17878	17878
89	1112	13190	13190
90	1112	16124	16124
0	1113	2305659	404341
1	1113	16958	16958
2	1113	21224	21224
3	1113	17551	17551
4	1113	19541	19541
5	1113	17625	17625
6	1113	19163	19163
7	1113	20196	20196
8	1113	22802	22802
9	1113	18767	18767
10	1113	18124	18124
11	1113	18809	18809
12	1113	22657	22657
13	1113	23586	23586
14	1113	31745	31745
15	1113	28642	28642
16	1113	23589	23589
17	1113	22864	22864
18	1113	25466	25466
19	1113	22290	22290
20	1113	24077	24077
21	1113	22851	22851
22	1113	26771	26771
23	1113	27976	27976
24	1113	28541	28541
25	1113	22067	22067
26	1113	23884	23884
27	1113	22046	22046
28	1113	18614	18614
29	1113	18193	18193
30	1113	18410	18410
31	1113	19300	19300
32	1113	19041	19041
33	1113	18584	18584
34	1113	17923	17923
35	1113	22804	22804
36	1113	22476	22476
37	1113	18788	18788
38	1113	24724	24724
39	1113	30033	30033
40	1113	25636	25636
41	1113	24451	24451
42	1113	22009	22009
43	1113	21935	21935
44	1113	22689	22689
45	1113	22226	22226
46	1113	26163	26163
47	1113	21439	21439
48	1113	22369	22369
49	1113	17915	17915
50	1113	20396	20396
51	1113	22168	22168
52	1113	21443	21443
53	1113	21227	21227
54	1113	19679	19679
55	1113	28183	28183
56	1113	24348	24348
57	1113	17481	17481
58	1113	22812	22812
59	1113	13414	13414
60	1113	13359	13359
61	1113	18234	18234
62	1113	17064	17064
63	1113	18070	18070
64	1113	16041	16041
65	1113	13250	13250
66	1113	17301	17301
67	1113	11103	11103
68	1113	13830	13830
69	1113	13975	13975
70	1113	15946	15946
71	1113	16194	16194
72	1113	17302	17302
73	1113	12023	12023
74	1113	13247	13247
75	1113	16571	16571
76	1113	14145	14145
77	1113	17457	17457
78	1113	16944	16944
79	1113	17794	17794
80	1113	14602	14602
81	1113	20450	20450
82	1113	21689	21689
83	1113	14389	14389
84	1113	16287	16287
85	1113	13866	13866
86	1113	16231	16231
87	1113	14996	14996
88	1113	17695	17695
89	1113	13227	13227
90	1113	16278	16278
0	1114	2308381	398692
1	1114	16904	16904
