channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,reserve_pore_intercept_median_mv,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
29,2,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
29,3,0,2.84,0.897,True,0,sample3,PAW72062,0.333,0.413,12,2,1,14.423,0.684,38.412,47.244,56.36,-30,-40,-50,12.747,4.773,0.643,0,single_pore,0,740,55,213.96,0.79,0,12.658,1,13,-177,6,54759,0,103.7,61.5,55499,0.0,0,0,0,0,0,0
29,4,0,2.79,0.896,True,0,sample3,PAW72062,5.938,0.55,12,1,1,14.728,0.74,38.958,47.781,56.883,-30,-40,-50,13.412,5.257,0.579,0,single_pore,0,0,0,,,0,12.658,1,13,-177,6,55067,0,106.02,62.2,55067,0.0,0,0,0,0,0,0
30,1,1640,2.98,0.896,True,101,sample3,PAW72062,5.635,0.478,12,1,1,14.457,0.638,38.536,47.343,56.448,-30,-40,-50,12.968,5.02,0.476,0,single_pore,0,4564,328,215.3,1.0,0,12.658,1,13,-177,6,53203,0,106.16,61.9,59508,0.0,0,0,0,0,125,0
30,2,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
30,3,0,7.11,0.905,True,0,sample3,PAW72062,5.084,0.587,12,2,1,14.088,0.71,38.171,46.864,56.268,-30,-40,-50,12.027,4.4,0.616,0,single_pore,0,0,0,,,0,12.658,1,13,-177,6,55066,0,103.89,58.0,55066,0.0,0,0,0,0,0,0
30,4,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
31,1,0,0.13,0.001,False,0,sample3,PAW72062,-0.038,0.472,12,0,0,-0.006,0.472,-0.035,-0.035,-0.022,-30,-40,-50,-75.385,0.007,0.473,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55230
31,2,0,0.3,0.003,False,0,sample3,PAW72062,-0.07,0.486,12,0,0,-0.027,0.479,-0.012,-0.057,-0.072,-30,-40,-50,-25.538,-0.033,0.475,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55203
31,3,0,0.07,0.003,False,0,sample3,PAW72062,-0.591,0.434,12,0,0,-0.572,0.448,-0.548,-0.524,-0.493,-30,-40,-50,-228.678,-0.515,0.457,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55099
31,4,0,0.44,0.002,False,0,sample3,PAW72062,-0.409,0.47,12,0,0,-0.379,0.472,-0.353,-0.394,-0.391,-30,-40,-50,97.983,-0.356,0.48,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55254
32,1,0,-0.35,0.002,False,0,sample3,PAW72062,-0.131,0.346,12,0,0,-0.106,0.345,-0.157,-0.159,-0.196,-30,-40,-50,28.998,-0.139,0.351,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55103
32,2,0,0.13,0.001,False,0,sample3,PAW72062,-0.106,0.348,12,0,0,-0.082,0.355,-0.061,-0.076,-0.078,-30,-40,-50,30.56,-0.114,0.335,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55257
32,3,0,0.27,0.0,False,0,sample3,PAW72062,-0.505,0.356,12,0,0,-0.519,0.357,-0.567,-0.583,-0.572,-30,-40,-50,174.179,-0.533,0.35,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55203
32,4,0,0.2,0.001,False,0,sample3,PAW72062,-0.323,0.327,12,0,0,-0.299,0.329,-0.327,-0.346,-0.345,-30,-40,-50,227.114,-0.334,0.333,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55375
33,1,0,-0.09,0.011,False,0,sample3,PAW72062,-0.865,0.565,12,0,0,-0.858,0.57,-0.598,-0.482,-0.375,-30,-40,-50,-83.474,-0.939,0.556,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55278
33,2,0,8.06,1.474,False,0,sample3,PAW72062,6.452,0.565,12,0,0,22.506,0.633,65.313,79.646,94.785,-30,-40,-50,14.217,5.081,0.638,226,multiple,0,826,51129,200.12,2.02,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,3898,0
33,3,0,0.22,0.005,False,0,sample3,PAW72062,-1.326,0.389,12,0,0,-1.372,0.357,-1.219,-1.179,-1.117,-30,-40,-50,-266.23,-1.378,0.353,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55208
