Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
16s-B06_S97_L001_R2_001	(1.0, 4.204227349520909)	(2.0, 1.0901333070254406)	(3.0, 0.7699683072104179)	(4.0, 0.5068379968183891)	(5.0, 0.4508823420601546)	(6.0, 0.386602705602348)	(7.0, 0.2988926021383384)	(8.0, 0.27130014428234944)	(9.0, 0.24139546928759048)	('>10', 2.755546238176863)	('>50', 1.491225906697414)	('>100', 5.282645423043248)	('>500', 6.952220345044456)	('>1k', 33.680371434561174)	('>5k', 23.208340013071734)	('>10k+', 18.409410415459178)
16s-B07_S105_L001_R1_001	(1.0, 2.4033791609070874)	(2.0, 0.755127582470953)	(3.0, 0.5131084917996039)	(4.0, 0.4352374192102215)	(5.0, 0.35199592782157135)	(6.0, 0.2970075092464602)	(7.0, 0.29502278925542647)	(8.0, 0.268053947024321)	(9.0, 0.26373426233795344)	('>10', 4.065874023984757)	('>50', 1.4498963275675272)	('>100', 3.3242892367467407)	('>500', 3.030433929838981)	('>1k', 11.243788993910412)	('>5k', 10.75146168789928)	('>10k+', 60.55158870997871)
16s-B07_S105_L001_R2_001	(1.0, 4.3025226958568386)	(2.0, 1.0792206821832855)	(3.0, 0.7113469944334441)	(4.0, 0.5253670564501065)	(5.0, 0.41912616281241827)	(6.0, 0.32152463854746516)	(7.0, 0.2852159375350245)	(8.0, 0.24844024358351702)	(9.0, 0.19333507677363918)	('>10', 2.2427335898681213)	('>50', 1.2712715283744909)	('>100', 5.035584861956887)	('>500', 11.173506556580865)	('>1k', 33.503124182762356)	('>5k', 25.172320394515634)	('>10k+', 13.515359397765906)
16s-B08_S113_L001_R1_001	(1.0, 2.266048134727214)	(2.0, 0.6675619102632433)	(3.0, 0.46940738248439035)	(4.0, 0.39005624551509754)	(5.0, 0.32603938079315403)	(6.0, 0.2697640904096782)	(7.0, 0.2615758867824528)	(8.0, 0.23582026446408952)	(9.0, 0.19562362847589243)	('>10', 4.02978719603155)	('>50', 1.6955536565539873)	('>100', 2.7889021554329476)	('>500', 1.6127783617042182)	('>1k', 11.49668452191312)	('>5k', 11.3954485497947)	('>10k+', 61.89894863465426)
16s-B08_S113_L001_R2_001	(1.0, 3.251014592867628)	(2.0, 0.8712248659367752)	(3.0, 0.6056293155555026)	(4.0, 0.49367424050689446)	(5.0, 0.4064326527695482)	(6.0, 0.33765174230085543)	(7.0, 0.27825004689607535)	(8.0, 0.23343824159071488)	(9.0, 0.21974161006881068)	('>10', 2.5325369436860017)	('>50', 0.5493540251720267)	('>100', 4.711343490675869)	('>500', 6.786829795533111)	('>1k', 16.115724626245722)	('>5k', 36.40892186667222)	('>10k+', 26.198231943522238)
16s-B09_S121_L001_R1_001	(1.0, 3.432622788678224)	(2.0, 1.205076071624434)	(3.0, 0.7985544834721134)	(4.0, 0.5761949579348943)	(5.0, 0.4442400860221234)	(6.0, 0.3728742932271947)	(7.0, 0.33276097009581695)	(8.0, 0.27684180023804567)	(9.0, 0.28019455560425033)	('>10', 3.8015456202238203)	('>50', 1.6962547327734234)	('>100', 7.993926723136646)	('>500', 6.960559622767125)	('>1k', 27.005486544674266)	('>5k', 11.806009574511396)	('>10k+', 33.01685717501622)
16s-B09_S121_L001_R2_001	(1.0, 5.102534443574324)	(2.0, 1.1373025167218673)	(3.0, 0.6961757035397912)	(4.0, 0.5292563828080284)	(5.0, 0.43106854708346204)	(6.0, 0.3484470755591318)	(7.0, 0.2975570387506675)	(8.0, 0.24139838636673874)	(9.0, 0.21876728764485698)	('>10', 4.061623643630843)	('>50', 2.422485493345978)	('>100', 7.944234098958969)	('>500', 7.3090066983262565)	('>1k', 33.120193885053176)	('>5k', 17.035469756949183)	('>10k+', 19.104479041686723)
16s-B10_S129_L001_R1_001	(1.0, 2.867935033143619)	(2.0, 0.8964292235926892)	(3.0, 0.5788481012173304)	(4.0, 0.48831130356388075)	(5.0, 0.3779815529678575)	(6.0, 0.3447804706125727)	(7.0, 0.30481147531563374)	(8.0, 0.2645870870775003)	(9.0, 0.2781229129608087)	('>10', 4.294176913244295)	('>50', 1.70921725894418)	('>100', 5.051800073297774)	('>500', 4.052319797933105)	('>1k', 13.642069346845323)	('>5k', 14.265100426889301)	('>10k+', 50.58350902239413)
16s-B10_S129_L001_R2_001	(1.0, 3.8895067979216122)	(2.0, 1.0420032000735533)	(3.0, 0.7133124847562339)	(4.0, 0.5618644706278964)	(5.0, 0.4322525529716884)	(6.0, 0.3417157553182388)	(7.0, 0.2851462188436574)	(8.0, 0.23496150589893847)	(9.0, 0.19882340471991697)	('>10', 2.3238203719287402)	('>50', 1.4193462706884243)	('>100', 5.248069548605746)	('>500', 3.43145955788928)	('>1k', 39.25376736512379)	('>5k', 37.80620017443338)	('>10k+', 2.8177503201989)
16s-B11_S137_L001_R1_001	(1.0, 5.673333517324542)	(2.0, 1.8393459537148886)	(3.0, 1.0314476357483595)	(4.0, 0.7455889877016031)	(5.0, 0.5578118067158206)	(6.0, 0.44264038706088904)	(7.0, 0.3975271581637961)	(8.0, 0.34816797831168256)	(9.0, 0.30570846876147734)	('>10', 5.924693813861756)	('>50', 4.196910221490032)	('>100', 19.113785116668115)	('>500', 12.15530839403274)	('>1k', 29.980978139721508)	('>5k', 11.891104095856589)	('>10k+', 5.395648324866199)
