Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
its-F10_S229_L001_R2_001	its-F10_S229_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	637900.0	159.4 Mbp	0.0	35-251	60.0	2.9443486439880857	250.12777081047187	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-F11_S237_L001_R1_001	its-F11_S237_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1045352.0	260.9 Mbp	0.0	35-251	65.0	3.5631060159640007	250.18080608254445	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-F11_S237_L001_R2_001	its-F11_S237_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1045352.0	260.2 Mbp	0.0	35-251	62.0	2.280284535735331	248.75032429267844	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-F12_S245_L001_R1_001	its-F12_S245_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	766873.0	191.2 Mbp	0.0	35-251	59.0	2.8798771113339496	249.64564015162875	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-F12_S245_L001_R2_001	its-F12_S245_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	766873.0	190.8 Mbp	0.0	35-251	57.0	2.893177879518512	248.93460846841654	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-G01_S158_L001_R1_001	its-G01_S158_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1055079.0	263.4 Mbp	0.0	35-251	58.0	2.554784997142394	250.54665764364563	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-G01_S158_L001_R2_001	its-G01_S158_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1055079.0	263.8 Mbp	0.0	35-251	56.0	2.65866347448864	250.2950423617568	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-G02_S166_L001_R1_001	its-G02_S166_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	786358.0	196.1 Mbp	0.0	35-251	56.0	4.47544248294034	249.77117801306784	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-G02_S166_L001_R2_001	its-G02_S166_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	786358.0	196 Mbp	0.0	35-251	55.0	3.4958632073432203	249.50084185574508	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-G03_S174_L001_R1_001	its-G03_S174_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	701098.0	175.3 Mbp	0.0	35-251	53.0	2.753823288613004	250.47669940578922	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
