.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
its-H03_S175_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H03_S175_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H04_S183_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H04_S183_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H05_S191_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H05_S191_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H06_S199_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H06_S199_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H07_S207_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H07_S207_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H08_S215_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H08_S215_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H09_S223_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H09_S223_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H10_S231_L001_R1_001	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H10_S231_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H11_S239_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H11_S239_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H12_S247_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-H12_S247_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
